"","postcode","n"
"929","2002",1
"930","2013",1
"931","2055",1
"932","2063",1
"933","2087",1
"934","2092",1
"935","2103",1
"936","2104",1
"937","2109",1
"938","2123",1
"939","2139",1
"940","2172",1
"941","2174",1
"942","2175",1
"943","2188",1
"944","22047",1
"945","2225",1
"946","2231",1
"947","2254",1
"948","2264",1
"949","2267",1
"950","2276",1
"951","2315",1
"952","2334",1
"953","2342",1
"954","2344",1
"955","2347",1
"956","2357",1
"957","2370",1
"958","2386",1
"959","2411",1
"960","2422",1
"961","2427",1
"962","2429",1
"963","2449",1
"964","2454",1
"965","2462",1
"966","2463",1
"967","2464",1
"968","2474",1
"969","2482",1
"970","2503",1
"971","2536",1
"972","2546",1
"973","2561",1
"974","2572",1
"975","2573",1
"976","2579",1
"977","2587",1
"978","2594",1
"979","2613",1
"980","2622",1
"981","2626",1
"982","2628",1
"983","2642",1
"984","2643",1
"985","2644",1
"986","2645",1
"987","2651",1
"988","2665",1
"989","2670",1
"990","2671",1
"991","2672",1
"992","2691",1
"993","2710",1
"994","2736",1
"995","2739",1
"996","2752",1
"997","2755",1
"998","2757",1
"999","2775",1
"1000","2779",1
"1001","2782",1
"1002","2786",1
"1003","2799",1
"1004","2823",1
"1005","2824",1
"1006","2839",1
"1007","2847",1
"1008","2898",1
"1009","2918",1
"1010","3001",1
"1011","3003",1
"1012","3013",1
"1013","3019",1
"1014","3020",1
"1015","3022",1
"1016","3025",1
"1017","3032",1
"1018","3034",1
"1019","3055",1
"1020","3061",1
"1021","3076",1
"1022","3078",1
"1023","3085",1
"1024","3089",1
"1025","3104",1
"1026","3107",1
"1027","3109",1
"1028","3111",1
"1029","3115",1
"1030","3116",1
"1031","3127",1
"1032","3133",1
"1033","3137",1
"1034","3144",1
"1035","3147",1
"1036","3148",1
"1037","3151",1
"1038","3152",1
"1039","3153",1
"1040","3179",1
"1041","3180",1
"1042","3189",1
"1043","3191",1
"1044","3197",1
"1045","3205",1
"1046","3206",1
"1047","3214",1
"1048","3225",1
"1049","3226",1
"1050","3230",1
"1051","3302",1
"1052","3304",1
"1053","3331",1
"1054","3401",1
"1055","3431",1
"1056","3435",1
"1057","3437",1
"1058","3440",1
"1059","3444",1
"1060","3461",1
"1061","3496",1
"1062","3505",1
"1063","3525",1
"1064","3564",1
"1065","3608",1
"1066","3612",1
"1067","3636",1
"1068","3640",1
"1069","3644",1
"1070","3666",1
"1071","3673",1
"1072","3685",1
"1073","3688",1
"1074","3723",1
"1075","3747",1
"1076","3756",1
"1077","3777",1
"1078","3781",1
"1079","3782",1
"1080","3791",1
"1081","3796",1
"1082","3823",1
"1083","3825",1
"1084","3850",1
"1085","3862",1
"1086","3871",1
"1087","3879",1
"1088","3882",1
"1089","3885",1
"1090","3904",1
"1091","3909",1
"1092","3910",1
"1093","3911",1
"1094","3919",1
"1095","3930",1
"1096","3937",1
"1097","3944",1
"1098","3950",1
"1099","3953",1
"1100","3978",1
"1101","3984",1
"1102","3995",1
"1103","4021",1
"1104","4070",1
"1105","4073",1
"1106","4104",1
"1107","4117",1
"1108","4130",1
"1109","4172",1
"1110","4184",1
"1111","4187",1
"1112","4205",1
"1113","4231",1
"1114","4272",1
"1115","4275",1
"1116","4277",1
"1117","4309",1
"1118","4310",1
"1119","4311",1
"1120","4342",1
"1121","4363",1
"1122","4377",1
"1123","4403",1
"1124","4405",1
"1125","4410",1
"1126","4421",1
"1127","4455",1
"1128","4492",1
"1129","4511",1
"1130","4514",1
"1131","4515",1
"1132","4518",1
"1133","4553",1
"1134","4555",1
"1135","4560",1
"1136","4562",1
"1137","4574",1
"1138","4659",1
"1139","4677",1
"1140","4695",1
"1141","4710",1
"1142","4722",1
"1143","4730",1
"1144","4737",1
"1145","4739",1
"1146","4750",1
"1147","4751",1
"1148","4829",1
"1149","4850",1
"1150","4860",1
"1151","4878",1
"1152","4880",1
"1153","5008",1
"1154","5009",1
"1155","5015",1
"1156","5017",1
"1157","5022",1
"1158","5032",1
"1159","5035",1
"1160","5037",1
"1161","5038",1
"1162","5041",1
"1163","5044",1
"1164","5045",1
"1165","5061",1
"1166","5062",1
"1167","5065",1
"1168","5075",1
"1169","5081",1
"1170","5086",1
"1171","5088",1
"1172","5092",1
"1173","5093",1
